time,initialValue,baleNumber,rxThrottle,outputThrottle,rpm,voltage,busbarCurrent,phaseWireCurrent,mosfetTemp,capacitorTemp,statusCode,verifyCode
1666879712.6099994,18258690,4995,0.0,0.0,0,2520,0,1,30.922399999999996,1.0879999999999939,0,1796
1666879712.9780896,18258690,4996,0.0,0.0,0,2520,0,1,30.922399999999996,1.0879999999999939,0,2052
1666879713.3457131,18258690,4997,0.0,0.0,0,2520,0,1,30.922399999999996,1.0879999999999939,0,2308
1666879713.7125483,18258690,4998,0.0,0.0,0,2520,0,1,30.922399999999996,1.0879999999999939,0,2564
1666879714.0802376,18258690,4999,0.0,0.0,0,2530,0,1,30.922399999999996,1.0879999999999939,0,3076
1666879714.447914,18258690,5000,0.0,0.0,0,2520,0,1,30.922399999999996,1.0879999999999939,0,3076
1666879714.8143208,18258690,5001,0.0,0.0,0,2520,0,1,30.922399999999996,1.0879999999999939,0,3332
1666879715.1821887,18258690,5002,0.0,0.0,0,2520,0,1,30.922399999999996,1.0879999999999939,0,3588
1666879715.5498393,18258690,5003,0.0,0.0,0,2520,0,1,30.922399999999996,1.0879999999999939,0,3844
1666879715.9012625,18258690,5004,0.0,0.0,0,2520,0,1,30.922399999999996,1.0879999999999939,0,4100
1666879720.3094454,18258690,5005,0.0,0.0,0,2520,0,1,30.922399999999996,1.0879999999999939,0,4356
1666879720.677462,18258690,5006,0.0,0.0,0,2520,0,1,30.922399999999996,1.0879999999999939,0,4612
1666879721.0455654,18258690,5007,0.0,0.0,0,2520,0,1,30.922399999999996,1.0879999999999939,0,4868
1666879721.4127383,18258690,5008,0.0,0.0,0,2520,0,1,30.922399999999996,1.0879999999999939,0,5124
1666879721.7798162,18258690,5009,0.0,0.0,0,2520,0,1,30.922399999999996,1.0879999999999939,0,5380
1666879722.1477807,18258690,5010,0.0,0.0,0,2520,0,1,30.922399999999996,1.0879999999999939,0,5636
1666879722.514405,18258690,5011,0.0,0.0,0,2520,0,1,30.922399999999996,1.0879999999999939,0,5892
1666879722.866002,18258690,5012,0.0,0.0,0,2520,0,1,30.922399999999996,1.0879999999999939,0,6148
1666879723.2332108,18258690,5013,0.0,0.0,0,2530,0,1,30.922399999999996,1.0879999999999939,0,6660
1666879723.8562763,379296513,531,3750.0,3000.0,30720,23040,64512,0,137.56879999999998,30.922399999999996,65280,27
1666879723.8881905,18258690,5015,11.71875,11.71875,38,2520,0,34,30.922399999999996,1.0879999999999939,0,20997
1666879723.936385,18258690,5016,11.71875,11.71875,54,2520,1,59,30.922399999999996,1.0879999999999939,0,32005
1666879723.9684532,18258690,5017,11.71875,11.71875,69,2530,2,83,30.922399999999996,1.0879999999999939,0,42757
1666879724.0168135,18258690,5018,11.71875,11.71875,89,2520,3,107,30.922399999999996,1.0879999999999939,0,54277
1666879724.048456,18258690,5019,11.71875,11.71875,105,2520,5,131,30.922399999999996,1.0879999999999939,0,65285
1666879724.0964472,18258690,5020,11.71875,11.71875,116,2520,6,156,30.922399999999996,1.0879999999999939,0,9478
1666879724.144517,18258690,5021,11.71875,11.71875,132,2520,8,179,30.922399999999996,1.0879999999999939,0,20230
1666879724.1759884,18258690,5022,11.71875,11.71875,141,2520,10,203,30.922399999999996,1.0879999999999939,0,29446
1666879724.224161,18258690,5023,11.71875,11.71875,160,2520,12,227,30.922399999999996,1.0879999999999939,0,41222
1666879724.255791,18258690,5024,11.71875,11.71875,179,2520,13,251,30.922399999999996,1.0879999999999939,0,52742
1666879724.3037043,18258690,5025,11.71875,11.71875,207,2520,16,276,30.922399999999996,1.0879999999999939,0,2054
1666879724.336331,18258690,5026,11.71875,11.71875,239,2520,18,300,30.922399999999996,1.0879999999999939,0,17158
1666879724.3842356,18258690,5027,11.71875,11.71875,299,2520,22,323,30.922399999999996,1.0879999999999939,0,39941
1666879724.416339,18258690,5028,11.71875,11.71875,405,2520,27,345,30.922399999999996,1.0879999999999939,0,8710
1666879724.4630907,18258690,5029,11.71875,11.71875,489,2520,30,370,30.922399999999996,1.0879999999999939,0,37638
1666879724.4959998,18258690,5030,11.71875,11.71875,523,2520,30,397,30.922399999999996,1.0879999999999939,0,53765
1666879724.5439765,18258690,5031,11.71875,11.71875,545,2520,34,418,30.922399999999996,1.0879999999999939,0,518
1666879724.5941353,18258690,5032,11.71875,11.71875,568,2520,38,430,30.922399999999996,1.0879999999999939,0,10758
1666879724.6230824,18258690,5033,11.71875,11.71875,579,2520,39,440,30.922399999999996,1.0879999999999939,0,16646
1666879724.6711662,18258690,5034,11.71875,11.71875,580,2520,41,439,30.922399999999996,1.0879999999999939,0,17414
1666879724.7030835,18258690,5035,11.71875,11.71875,580,2520,42,438,30.922399999999996,1.0879999999999939,0,17670
1666879724.750983,18258690,5036,11.71875,11.71875,579,2520,37,438,30.922399999999996,1.0879999999999939,0,16390
1666879724.7828712,18258690,5037,11.71875,11.71875,581,2510,36,437,30.922399999999996,1.0879999999999939,0,16390
1666879724.8307726,18258690,5038,11.71875,11.71875,581,2520,43,437,30.922399999999996,1.0879999999999939,0,18694
1666879724.8626847,18258690,5039,11.71875,11.71875,579,2520,36,438,30.922399999999996,1.0879999999999939,0,16902
1666879724.9105277,18258690,5040,11.71875,11.71875,577,2520,44,439,30.922399999999996,1.0879999999999939,0,18950
1666879724.9425712,18258690,5041,11.71875,11.71875,576,2520,35,441,30.922399999999996,1.0879999999999939,0,17158
1666879724.9910822,18258690,5042,11.71875,11.71875,575,2520,45,441,30.922399999999996,1.0879999999999939,0,19718
1666879725.0232768,18258690,5043,11.71875,11.71875,573,2520,45,440,30.922399999999996,1.0879999999999939,0,19206
1666879725.0703244,18258690,5044,11.71875,11.71875,573,2510,34,442,30.922399999999996,1.0879999999999939,0,16902
1666879725.1190605,18258690,5045,11.71875,11.71875,573,2510,33,442,30.922399999999996,1.0879999999999939,0,16902
1666879725.1511426,18258690,5046,11.71875,11.71875,573,2520,48,442,30.922399999999996,1.0879999999999939,0,21254
1666879725.1985893,18258690,5047,11.71875,11.71875,574,2510,33,442,30.922399999999996,1.0879999999999939,0,17670
1666879725.2306802,18258690,5048,11.71875,11.71875,573,2510,48,442,30.922399999999996,1.0879999999999939,0,21510
1666879725.2787871,18258690,5049,11.71875,11.71875,572,2510,48,443,30.922399999999996,1.0879999999999939,0,21766
1666879725.3105483,18258690,5050,11.71875,11.71875,571,2510,48,444,30.922399999999996,1.0879999999999939,0,22022
1666879725.3581862,18258690,5051,11.71875,11.71875,570,2510,31,442,30.922399999999996,1.0879999999999939,0,17158
1666879725.390102,18258690,5052,11.71875,11.71875,570,2510,31,444,30.922399999999996,1.0879999999999939,0,17926
1666879725.438064,18258690,5053,11.71875,11.71875,569,2510,49,444,30.922399999999996,1.0879999999999939,0,22534
1666879725.4699082,18258690,5054,11.71875,11.71875,572,2510,29,443,30.922399999999996,1.0879999999999939,0,18182
1666879725.5184414,18258690,5055,11.71875,11.71875,573,2520,29,442,30.922399999999996,1.0879999999999939,0,18694
1666879725.56589,18258690,5056,11.71875,11.71875,574,2510,50,440,30.922399999999996,1.0879999999999939,0,23814
1666879725.5987608,18258690,5057,11.71875,11.71875,575,2510,50,439,30.922399999999996,1.0879999999999939,0,24070
1666879725.6456606,18258690,5058,11.71875,11.71875,575,2520,51,439,30.922399999999996,1.0879999999999939,0,24838
1666879725.6785758,18258690,5059,11.71875,11.71875,576,2510,26,438,30.922399999999996,1.0879999999999939,0,18438
1666879725.7254732,18258690,5060,0.0,0.0,500,2520,8,391,30.922399999999996,1.0879999999999939,0,52229
1666879725.7573934,18258690,5061,0.0,0.0,17,2520,0,20,30.922399999999996,1.0879999999999939,0,27908
1666879725.8052676,18258690,5062,0.0,0.0,1,2520,0,1,30.922399999999996,1.0879999999999939,0,19204
1666879725.83718,18258690,5063,0.0,0.0,1,2520,0,0,30.922399999999996,1.0879999999999939,0,19204
1666879725.8850226,18258690,5064,0.0,0.0,0,2520,0,0,30.922399999999996,1.0879999999999939,0,19204
1666879725.9169366,18258690,5065,0.0,0.0,0,2520,0,0,30.922399999999996,1.0879999999999939,0,19460
1666879725.9655628,18258690,5066,0.0,0.0,1,2520,65535,65535,30.922399999999996,1.0879999999999939,0,18952
1666879725.9972067,18258690,5067,0.0,0.0,1,2520,65535,65535,30.922399999999996,1.0879999999999939,0,19208
1666879726.0454419,18258690,5068,0.0,0.0,0,2520,0,0,30.922399999999996,1.0879999999999939,0,20228
1666879726.0770853,18258690,5069,0.0,0.0,0,2520,65535,65535,30.922399999999996,1.0879999999999939,0,19464
1666879726.124777,18258690,5070,0.0,0.0,1,2520,0,0,30.922399999999996,1.0879999999999939,0,20996
1666879726.1572704,18258690,5071,0.0,0.0,0,2520,65535,65535,30.922399999999996,1.0879999999999939,0,19976
1666879726.2050502,18258690,5072,0.0,0.0,1,2520,0,0,30.922399999999996,1.0879999999999939,0,21508
1666879726.2364142,18258690,5073,0.0,0.0,1,2520,0,0,30.922399999999996,1.0879999999999939,0,21764
1666879726.285209,18258690,5074,0.0,0.0,1,2520,0,65535,30.922399999999996,1.0879999999999939,0,21510
1666879726.3167336,18258690,5075,0.0,0.0,0,2520,65535,65535,30.922399999999996,1.0879999999999939,0,21000
1666879726.3646822,18258690,5076,0.0,0.0,1,2520,65535,65535,30.922399999999996,1.0879999999999939,0,21512
1666879726.3963943,18258690,5077,0.0,0.0,0,2520,65535,65535,30.922399999999996,1.0879999999999939,0,21512
1666879726.4445624,18258690,5078,0.0,0.0,1,2520,65535,65535,30.922399999999996,1.0879999999999939,0,22024
1666879726.476894,18258690,5079,0.0,0.0,2,2520,65535,65535,30.922399999999996,1.0879999999999939,0,22536
1666879726.5248904,18258690,5080,0.0,0.0,1,2520,0,65535,30.922399999999996,1.0879999999999939,0,23046
1666879726.556484,18258690,5081,0.0,0.0,0,2520,65535,65535,30.922399999999996,1.0879999999999939,0,22536
1666879726.6062543,18258690,5082,0.0,0.0,0,2520,65535,65535,30.922399999999996,1.0879999999999939,0,22792
1666879726.63717,18258690,5083,0.0,0.0,1,2520,65535,65535,30.922399999999996,1.0879999999999939,0,23304
1666879726.6840453,18258690,5084,0.0,0.0,0,2520,0,0,30.922399999999996,1.0879999999999939,0,24324
1666879726.715959,18258690,5085,0.0,0.0,1,2520,65535,65535,30.922399999999996,1.0879999999999939,0,23816
1666879726.763865,18258690,5086,0.0,0.0,1,2520,65535,65535,30.922399999999996,1.0879999999999939,0,24072
1666879726.795775,18258690,5087,0.0,0.0,0,2520,65535,65535,30.922399999999996,1.0879999999999939,0,24072
1666879726.82769,18258690,5087,0.0,0.0,0,2520,65535,65535,30.922399999999996,1.0879999999999939,0,24072
1666879727.1958146,18258690,5088,0.0,0.0,0,2520,0,0,30.922399999999996,1.0879999999999939,0,25348
1666879727.5473738,18258690,5089,0.0,0.0,0,2520,0,0,30.922399999999996,1.0879999999999939,0,25604
1666879727.9141417,18258690,5090,0.0,0.0,0,2520,0,0,30.922399999999996,1.0879999999999939,0,25860
1666879728.2812347,18258690,5091,0.0,0.0,0,2520,0,0,30.922399999999996,1.0879999999999939,0,26116
1666879728.6495278,18258690,5092,0.0,0.0,0,2520,0,0,30.922399999999996,1.0879999999999939,0,26372
1666879729.0164237,18258690,5093,0.0,0.0,0,2520,0,0,30.922399999999996,1.0879999999999939,0,26628
1666879729.831617,379296513,531,5750.0,3000.0,30720,28160,64512,0,137.56879999999998,30.922399999999996,65280,109
1666879729.8635352,18258690,5095,11.71875,11.71875,37,2520,0,34,30.922399999999996,1.0879999999999939,0,41221
1666879729.9113758,18258690,5096,11.71875,11.71875,68,2520,1,59,30.922399999999996,1.0879999999999939,0,56069
1666879729.9596374,18258690,5097,11.71875,11.71875,80,2520,2,83,30.922399999999996,1.0879999999999939,0,262
